Date,Carbon price in EUR,EUR/GBP,Carbon price in GBP
01/10/2011,10.17,0.861,8.75637
01/09/2011,10.74,0.8587,9.222438
01/08/2011,12.95,0.8844,11.45298
01/07/2011,12.23,0.8765,10.719595
01/06/2011,13.53,0.9037,12.227061
01/05/2011,16.99,0.8749,14.864551
01/04/2011,17.14,0.8858,15.182612
01/03/2011,17.28,0.8833,15.263424
01/02/2011,15.52,0.8489,13.174928
01/01/2011,14.98,0.8547,12.803406
01/12/2010,14.24,0.8575,12.2108
01/11/2010,14.76,0.8346,12.318696
01/10/2010,14.63,0.8697,12.723711
01/09/2010,15.41,0.8677,13.371257
01/08/2010,15.27,0.8266,12.622182
01/07/2010,14.15,0.8319,11.771385
01/06/2010,15.26,0.8185,12.49031
01/05/2010,15.11,0.8463,12.787593
01/04/2010,15.94,0.8709,13.882146
01/03/2010,12.83,0.89,11.4187
01/02/2010,13,0.8934,11.6142
01/01/2010,12.86,0.8665,11.14319
01/12/2009,12.53,0.8862,11.104086
01/11/2009,13.14,0.9123,11.987622
01/10/2009,14.54,0.8951,13.014754
01/09/2009,13.36,0.9143,12.215048
01/08/2009,14.93,0.8799,13.136907
01/07/2009,13.71,0.8522,11.683662
01/06/2009,13.26,0.8521,11.298846
01/05/2009,14.91,0.8746,13.040286
01/04/2009,14.26,0.894,12.74844
01/03/2009,11.75,0.9251,10.869925
01/02/2009,10.09,0.8854,8.933686
01/01/2009,11.85,0.8811,10.441035
01/12/2008,15.9,0.9557,15.19563
01/11/2008,15.52,0.8249,12.802448
01/10/2008,17.94,0.7923,14.213862
01/09/2008,22.35,0.7919,17.698965
01/08/2008,25.19,0.8056,20.293064
01/07/2008,22.06,0.7864,17.347984
01/06/2008,28.77,0.7905,22.742685
01/05/2008,26.1,0.7846,20.47806
01/04/2008,23.88,0.7862,18.774456
01/03/2008,22.27,0.7955,17.715785
01/02/2008,21.31,0.7641,16.282971
01/01/2008,19.1,0.7478,14.28298
01/12/2007,22.41,0.7351,16.473591
01/11/2007,0.01,0.7113,0.007113
01/10/2007,0.09,0.6957,0.062613
01/09/2007,0.08,0.6972,0.055776
01/08/2007,0.1,0.6763,0.06763
01/07/2007,0.12,0.6738,0.080856
01/06/2007,0.13,0.6741,0.087633
01/05/2007,0.29,0.6793,0.196997
01/04/2007,0.53,0.6825,0.361725
01/03/2007,1.31,0.6787,0.889097
01/02/2007,0.95,0.674,0.6403
01/01/2007,2.35,0.6636,1.55946
01/12/2006,6.6,0.674,4.4484
01/11/2006,8.1,0.6738,5.45778
01/10/2006,11.05,0.669,7.39245
01/09/2006,12.95,0.6768,8.76456
01/08/2006,16,0.6724,10.7584
01/07/2006,16.25,0.6835,11.106875
01/06/2006,15.85,0.6922,10.97137
01/05/2006,16.7,0.6849,11.43783
01/04/2006,13.55,0.6917,9.372535
01/03/2006,27.3,0.6973,19.03629
01/02/2006,26.55,0.6796,18.04338
01/01/2006,26.7,0.6833,18.24411
01/12/2005,21.7,0.688,14.9296
01/11/2005,19.6,0.6815,13.3574
01/10/2005,21.95,0.6771,14.862345
01/09/2005,22.65,0.682,15.4473
01/08/2005,23.65,0.6845,16.188425
01/07/2005,21.9,0.6903,15.11757
01/06/2005,25.3,0.6754,17.08762
01/05/2005,19.65,0.6772,13.30698
